Player ID,Player Name,Position,Mat,Inns,NNO,Runs,HS,Not out,Avg,BF,SR,100s,50s,0s,4s,6s,Iyengar_Score,Innings_Confidence,Batting_Position_Score,Lambda,Final_Position_Batting_Score
10214,Jitesh Sharma,6,4,4,0,64,35,0,16.0,42,152.38,0,0,0,5,4,0.358872473849005,0.9305165487771985,0.33393677581711156,0.5714285714285714,0.32432695260222094
10952,Khaleel Ahmed,11,2,2,2,1,1,1,1.0,2,50.0,0,0,0,0,0,0.06689532532229889,0.7364028618842733,0.049261909014020396,0.4,0.20661307659502826
8733,KL Rahul,1,36,36,3,1178,70,0,35.69,870,135.4,0,13,3,91,57,0.7071458816479219,0.9999999999622486,0.7071458816212262,0.9230769230769231,0.6767126488028523
8733,KL Rahul,2,18,18,1,648,91,0,38.11,463,139.95,0,8,2,56,27,0.6439743616175679,0.9999938557876467,0.64397040490234,0.8571428571428571,0.5964766120566296
8733,KL Rahul,3,10,10,2,265,101,1,33.12,196,135.2,1,1,0,28,7,0.4870224738288982,0.9987273661986602,0.4864026725666914,0.7692307692307693,0.4460437146626165
8733,KL Rahul,4,4,4,2,174,110,1,87.0,99,175.75,1,0,0,16,8,0.48814379870126645,0.9305165487771985,0.45422588287449395,0.5714285714285714,0.39306358520643947
8292,Kuldeep Yadav,7,1,1,1,23,23,1,,28,82.14,0,0,0,0,0,,0.486582880967408,,0.25,
8292,Kuldeep Yadav,8,2,2,1,3,3,0,3.0,9,33.33,0,0,0,0,0,0.091081279875449,0.7364028618842733,0.06707251516436312,0.4,0.21373731905516535
8292,Kuldeep Yadav,9,4,4,1,20,16,0,6.66,22,90.9,0,0,2,2,0,0.20811383390505,0.9305165487771985,0.19365336647811823,0.5714285714285714,0.24416500440851047
10808,Mohammed Siraj,9,1,1,1,2,2,1,,1,200.0,0,0,0,0,0,,0.486582880967408,,0.25,
10808,Mohammed Siraj,10,1,1,0,0,0,0,0.0,1,0.0,0,0,1,0,0,0.0,0.486582880967408,0.0,0.25,0.23363539123677513
10808,Mohammed Siraj,11,2,2,1,12,7,1,12.0,14,85.71,0,0,0,1,0,0.2017781308574213,0.7364028618842733,0.14858999302906445,0.4,0.24634431020104589
10754,Mukesh Kumar,10,2,2,1,0,0,1,0.0,3,0.0,0,0,1,0,0,0.0,0.7364028618842733,0.0,0.4,0.1869083129894201
