Player ID,Player Name,Opponent,Opponent_Bowl_Score,Home_Score,Away_Score,Powerplay_score,Middle_Over_score,Death_Over_score,Overall_Bowling_Score,Position,Bowler_Position_Score,Role,Inns
10808,Mohammed Siraj,Bangladesh,0.144,0,0.649356899,4.0641,4.4211,5.6754,0.468918826,11,0.24634431,Pacer,2
10808,Mohammed Siraj,Afghanistan,0.144,0,0.649356899,4.0105,5.34,5.1877,0.468918826,11,0.24634431,Pacer,2
10808,Mohammed Siraj,Zimbabwe,0.144,0,0.649356899,3.9273,7.2197,3.6233,0.468918826,11,0.24634431,Pacer,2
10808,Mohammed Siraj,Ireland,0.144,0,0.649356899,3.927321476,7.219717372,3.623307581,0.468918826,11,0.24634431,Pacer,2
7910,Yuzvendra Chahal,Australia,0.193027545,0.953209345,0.358295963,5.192569798,5.766216615,4.721243504,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,England,0.917599918,0.953209345,0.358295963,3.635410543,6.690682124,3.31499093,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,New Zealand,0.281136081,0.953209345,0.358295963,4.056754305,6.019883328,3.604386295,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,West Indies,0.243523351,0.953209345,0.358295963,6.271670686,10.79807301,9.26608816,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,South Africa,0.174820572,0.953209345,0.358295963,6.212240767,6.29781005,5.361612532,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Pakistan,0.062347581,0.953209345,0.358295963,3.338190226,5.767698637,4.797854673,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Sri Lanka,0.872523083,0.953209345,0.358295963,4.357608081,5.047789708,7.00206369,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Bangladesh,0.372470623,0.953209345,0.358295963,3.8479,5.4077,5.9,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Afghanistan,0.3805,0.953209345,0.358295963,4.0208,6.1016,5.3127,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Zimbabwe,0.161745435,0.953209345,0.358295963,3.6841,7.1555,3.6233,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Ireland,0.251798903,0.953209345,0.358295963,3.684079159,7.155450428,3.623307581,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Scotland,0.2068,0.953209345,0.358295963,3.6841,7.1555,3.6233,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Netherlands,0.2518,0.953209345,0.358295963,3.6841,7.1555,3.6233,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,Namibia,0.2293,0.953209345,0.358295963,3.8479,6.29781005,4.721243504,0.526339136,11,0.248530143,Spinner,1
7910,Yuzvendra Chahal,United Arab Emirates,0.2518,0.953209345,0.358295963,3.8479,6.29781005,4.721243504,0.526339136,11,0.248530143,Spinner,1
9311,Jasprit Bumrah,Australia,0.446948993,0.410571599,0.455727738,5.282566956,6.309124474,4.612406705,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,England,0.398060987,0.410571599,0.455727738,4.41230045,5.548923854,3.858091616,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,New Zealand,0.506778056,0.410571599,0.455727738,4.8484,5.8947,4.2563,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,West Indies,0.247678906,0.410571599,0.455727738,4.5157,5.599,4.1754,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,South Africa,0.171365759,0.410571599,0.455727738,4.852165315,5.757508978,4.340525111,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,Pakistan,0.305287185,0.410571599,0.455727738,4.049721391,5.381943044,4.479823314,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,Sri Lanka,0.433207553,0.410571599,0.455727738,3.947578494,5.159668589,5.946836556,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,Bangladesh,0.270544998,0.410571599,0.455727738,3.788563487,5.645920495,3.90882364,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,Afghanistan,0.209892529,0.410571599,0.455727738,3.864395205,5.853603161,4.720627683,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,Zimbabwe,0.269420959,0.410571599,0.455727738,3.8298,6.2309,4.2585,0.703956861,10,0.220299899,Pacer,3
9311,Jasprit Bumrah,Ireland,0.354923772,0.410571599,0.455727738,3.843214632,8.155576686,4.03379983,0.703956861,10,0.220299899,Pacer,3
